gene, B cells_naive, Monocytes_CD14+, Monocytes_CD16+, NK cells, T cells_CD4+_memory TREG, T cells_CD4+_naive, T cells_CD4+_naive_stimulated, T cells_CD4+_naive TREG, T cells_CD4+_TFH, T cells_CD4+_Th1_17, T cells_CD4+_Th17, T cells_CD4+_Th1, T cells_CD4+_Th2, T cells_CD8+_naive, T cells_CD8+_naive_stimulated
KANSL2,1.738332571,,,,,,,1.917076609,1.878726115,2.215263714,1.817693263,2.08316777,1.608064419,1.590445537,
KANSL3,,,2.294734518,,,,,,,,,,1.860787984,,
KARS,,,,0.653531426,,0.950816278,,,1.125457247,,,1.287664379,,0.997767374,
KAT2B,,,,,3.011361227,2.157148499,,,2.594005293,2.191248487,2.139878212,2.228937096,2.540451308,3.678109108,
KAT6A,,,,,2.396997937,,2.118096724,2.066750517,,,2.385830059,,2.265016139,2.289206036,
KAT6B,,,,,,,1.479070379,,1.664142224,1.781025179,1.689506218,1.771441613,1.710168017,,
KAT7,1.179959002,,,0.96009925,,1.256361168,,,1.592275897,,,1.659948679,,1.444402727,
KAT8,,-0.839479744,,,,,,,,,,,,,
KATNBL1,-1.070132557,-1.534553826,,-2.238091522,,,,,,-2.305571615,,,,,
KBTBD2,2.289780912,,,,2.801592501,1.692281447,,3.006700775,1.990838969,2.313323712,2.326897261,2.220923625,2.279195522,2.357493034,
KBTBD6,,-6.22646242,,,,,,,,,,,,,
KCMF1,1.728088523,,,,1.907707933,1.454485541,,1.887375484,1.60139923,1.866758378,1.831596051,2.000939796,1.633006574,1.741044221,
KCNAB2,1.856301026,,,,,,,,,,,,,,
KCNE1,,-1.643140865,,,,,,,,,,,,,
KCNE3,,,-1.682666737,,,,,,,,,,,,
KCNH8,-3.000187716,,,,,,,,,,,,,,
KCNJ15,,-3.377549567,,,,,,,,,,,,,
KCNJ2,,,-3.307228366,,,,,,,,,,,,
KCNQ1,,,,,,-0.794349536,,,,,,,,,
KCNQ1OT1,,,,,,-3.368504761,,,,,,,,,
KCNQ5,,,,,,,,-2.043636007,,,,,,,
KCTD10,,,,1.49158189,,,,,,,,,,,
KCTD12,,,-2.610871177,,,,,,,,,,,,
KCTD20,1.255291733,,,1.234794366,,1.506452283,,,1.702151567,1.660811817,,1.995860387,,1.61079126,
KCTD9,,,,1.816059891,,,,,,,,,,,
KDELR1,-1.460876759,-0.83103537,-1.706621321,-1.263907155,,,,,,-2.666216826,,,-2.655499905,,
KDELR2,-2.093128181,-0.885619989,-1.321189009,,,,,,,,,,,,
KDM1A,,,,1.006861649,,1.109320591,,,,,,,,1.253487307,
KDM2A,1.340737407,,,,2.163302626,1.512549137,,2.017784542,1.637823856,1.955503087,1.949010991,1.905814978,1.934401924,1.840044813,
KDM2B,,,3.546989484,,3.715989528,2.106581235,3.40318975,4.074610844,2.961495606,3.490636336,2.978303348,2.790058347,3.131736427,2.489884651,
KDM3A,,1.49853511,,,,,,,1.08249831,,,,,1.630373283,
KDM3B,,,,,,,,,2.180254962,2.272967295,2.380320315,2.130101831,,1.888344004,
KDM4B,1.664889227,,,1.873830411,3.057490063,2.683758634,,2.927622575,,2.813423979,,3.077333119,,2.557513677,
KDM4C,,,,,,,,,2.099950996,,2.030587245,,,,
KDM5A,1.173067901,,,,,0.905510469,,,1.419428399,1.368885898,,,,0.972460254,
KDM5B,1.320479032,1.549700499,,1.347166828,,1.145336135,,1.917660911,,1.983635261,,,,1.524691813,
KDM5C,1.0323615,,,,,1.641449812,,,1.493783096,,,,,1.3336734,
KDM6A,,,,,3.604753472,3.062861384,2.530408648,3.542224567,3.070210648,,3.702249876,3.090244516,3.199363432,3.610050048,
KDM6B,2.91380483,,1.91467021,3.41575147,4.266075731,2.134193473,3.541782075,2.706254175,2.489124462,3.160990703,2.737650018,2.481091419,2.815113004,1.888906971,
KDM7A,,,,,3.104075319,,,3.362030001,,,,,,,
KDSR,,,,,,,,,,,,,-1.60358934,,
KHDC4,1.273062788,1.686817903,,1.539488752,,1.35396372,,,,2.366164479,,,,2.249093626,
KHDRBS1,,,,,-2.907578826,,,,,,,,,0.641259338,
KIAA0100,,-0.944390658,-2.96137778,,,,,,,,,,,,
KIAA0232,2.076802553,,,1.2684553,2.921057797,1.887052471,,1.97494917,2.284266634,2.176864341,,2.245198781,,1.556786335,
KIAA0319L,-1.293711328,,,-1.682749462,,-0.859653535,,,,,,,,,
KIAA0355,,,,,,,,,,,,,-1.823911747,,
KIAA0586,,,,,,-1.269909875,,-2.222354486,,-2.815820835,,,-2.979958036,-1.263099021,
KIAA0930,,-1.757016854,-1.476398143,,,,,,,,,,,,
KIAA1109,,,,,,,,,1.524295194,,1.599765766,1.523944551,,,
KIAA1143,0.863115255,-0.843717772,-0.79632742,0.712488046,,1.022138264,,,1.046887755,,,2.420300971,,1.128536596,
KIAA1324L,,,,,,,,,3.614247206,,,,,,
KIAA1328,-1.491757818,,-2.951535517,,,-1.550150407,,,,-2.655269841,,,-2.393908875,-1.850446592,
KIAA2013,,-1.244636989,-2.331311701,,,,,,,,,,,,
KIAA2026,,,,,,,,,,-1.474349177,,,,,
KIDINS220,,,,,,,,,1.154143828,,,,,,
KIF13B,2.323159482,,,,,1.820835918,,3.600123963,,2.833189029,,2.500677807,,3.616197465,
KIF20B,1.099907211,,,1.604419516,2.609320508,2.074283327,2.252051093,2.806181649,2.003584099,2.200658027,1.907577737,1.869426627,1.717966276,2.112609953,
KIF2A,,,-1.140055109,-0.642699846,-3.221207884,,-1.639176639,,,-1.61822586,,,-2.155180449,,
KIF5B,0.877476115,,,0.699435341,,0.764635044,,,1.150146579,,,,,0.92584436,
KIF5C,,,,,,,,,,,1.999110543,,,,
KIF9,3.613817711,,,,,,,,,,,,,2.426408937,
KIF9-AS1,,,,,5.556520252,,,,5.615764542,,4.561922135,,4.452916678,,
KIFAP3,,,-1.943495588,,,1.771768353,,,,,,,,2.139930134,
KIN,,,,0.723778452,,,,,,,,,,,
KIT,,,,,,,,,,4.665956092,,,,,
KLC1,1.110031551,,,1.026242149,1.965539118,1.282131342,,2.088385215,1.361988279,,,1.113818864,,1.335435355,
KLF10,2.86478179,,,2.513607464,,,,5.014182623,,3.389591877,3.616540484,,,,
KLF12,,-3.168165808,,,,,,,,,,,,,
KLF13,,,,,-1.570088829,,,,,,,,,0.755565704,
KLF2,,,-2.163437737,,-2.134174216,-1.224540288,-3.663847815,-1.3735661,,,-1.734048802,,,,
KLF3,,,,,,,,1.271060217,,,,,,,
KLF6,,,,,,2.560904057,2.69313158,2.395795925,2.247787174,,,2.028841566,,3.197474527,
KLF7,,,,,,1.68191242,2.02563801,2.021571333,2.748069862,,,4.325959907,2.811048374,2.077327049,
KLF9,1.435368671,,,,,,,1.977266587,2.067110492,2.083505829,2.187214598,1.764123137,2.246474649,,
KLHDC2,,,,-0.938367471,,,,,,,,,,,
KLHDC3,,,-2.943785188,,,,,,,,,,,,
KLHDC4,,,,,,1.57892025,,,,1.946137803,,2.305158778,,1.265902773,
KLHL15,,2.212892933,,,,,,,,,,,,,
KLHL18,2.153254629,,,2.411912813,3.460564535,1.639216505,,3.137115673,2.578233916,2.617715536,2.273241999,2.315687027,2.55029459,2.692849037,
KLHL2,,,,,3.676403884,2.243157351,,4.460549166,,,,,,,
KLHL20,,,,,3.165205191,,,,,2.594217141,2.477593789,2.868079314,2.916684179,,
KLHL22,,,,,,,,,,,,,,2.91058446,
KLHL24,2.107859987,1.566341114,,,2.65017445,1.615329036,,2.334906929,1.836873788,2.538491757,2.414538937,2.463539593,1.881989204,2.416404092,
KLHL28,,,,,,,,2.554053389,1.970345375,1.472506376,,,1.458324385,1.758954449,
KLHL5,,,,2.861879778,3.35984695,3.084641464,,3.826895675,3.266974776,3.410052571,3.431399931,3.146743417,,3.574395841,
KLHL6,2.054077405,-3.366958506,,,,1.825727624,1.780109418,2.325283318,2.364401945,3.05423099,,2.838093655,2.36270204,2.041205948,
KLHL8,,-1.775224065,-2.70177395,,,,,,,,,,,,
KLRB1,,,,,,,,,1.309916197,,,,,,
KLRC4,,,,-2.742127773,,,,,,,,,,,
KLRG1,,,,,,,,,,,,-1.966519965,,,
KLRK1,,,,,,,,,,,,,,-1.265991881,
KMO,,-3.62427582,-2.05823422,,,,,,,,,,,,
KMT2A,-0.592204812,,,,-2.535303083,,,,,,-3.314127934,,-1.960573406,,
KMT2C,,,,,2.715599216,1.937690216,,2.350289109,2.051188052,,2.532711917,2.201450532,2.334662517,2.246226281,
KMT2D,,,,1.065318067,,,,,,,,,,,
KMT2E,,,,,,1.103874497,,1.306013498,1.236596412,1.60511347,,1.390552614,,1.294261334,
KMT2E-AS1,,,,2.072873782,,,,,1.552062694,,,,,,
KMT5B,,,,,,,,,,,,,,1.181097998,
KNL1,,,,,3.461295791,,,,,,,,,,
KNOP1,,,-4.793751438,,,,,,,,,,,,
KPNA1,,,,,,1.668519696,,2.54822193,2.16438513,2.232348168,1.998893401,2.11934566,,1.855052952,
KPNA2,2.246546593,,,2.272197781,,3.391870041,,3.623000868,3.101729859,2.660719418,2.628382195,2.893936548,2.699444149,2.918635858,
KPNA3,1.828265774,,,,,1.422159759,,,1.278250096,1.83919913,,1.756462053,,1.429820792,
KPNA4,1.385353139,,,,,1.088078238,,,1.222884426,1.562990144,1.319672436,,,1.275026968,
KPNA5,,,,-1.247899553,,,,,,,,1.971546292,,1.483139453,
KPNA6,1.94820991,,1.644979927,,,1.635961118,,1.57409185,1.99743034,2.091450015,2.070533211,2.298296669,1.623898381,1.824393379,
KPNB1,,,,,,0.732063722,,,,,,,,0.877168449,
KRAS,,,-1.200669871,,,,,,,1.58906007,,1.338423575,1.678902408,1.384306724,
KRCC1,-1.342609342,-2.094307859,-2.635850432,-2.071789856,,-1.467133951,,,,-2.370683966,,,-2.365754159,,
KRR1,0.731226622,,,0.784803102,,0.965331296,,1.41700296,0.902578103,,1.044771821,,1.19614096,0.943998804,
KRT1,,,,,6.050812094,,,,,,7.481260118,,,,
KRT10,,,-1.149312385,,-3.475997314,,-2.803155369,-1.22087924,-3.188240568,-2.278008407,-3.513644055,,-2.511053606,-0.752669647,
KRTCAP2,,,-1.673354475,-1.37162412,-3.079243424,-1.12408006,,-1.550898055,-1.413028935,-1.754030395,-2.516017482,-1.538784004,-1.794704797,-1.227428506,
KSR1,3.79302597,,,2.513645994,,,,,,3.769426671,3.079239285,3.165903708,,,
KTN1,,-0.78738198,-1.279669274,-0.815379281,-2.584064544,,-2.467990579,-1.013197381,,-1.635122479,,,-1.60132577,-0.919524856,
KYAT3,,,,,,,,,-1.109563022,,,-1.589074936,,,
KYNU,-1.449781362,,,,,,,,,,,,,,
L1TD1,,,-3.577274553,,,,,,,,,,,,
L3MBTL3,,1.122415255,-1.742034689,,,,,,,,,,,,
L3MBTL4,,,-6.66849592,,,,,,,,,,,,
LACC1,,-4.969265585,,,,,,,,,,,,,
LACTB,1.719748608,,,,,,,,,,,,,,
LAGE3,,,,,,-1.875902683,,,,,,,,-3.022903277,
LAIR1,,,-1.166300333,,,,,,,,,,,,
LAIR2,,,,,4.878767749,,,,4.286365229,,,,,,
LAMB3,,-1.15396697,,,,,,,,,,,,,
LAMP1,1.197334219,,,,,0.94785366,,,1.126996366,,,,,0.921102305,
LAMP2,,,-1.681882895,,,,,,,,,,,,
LAMP3,,,-7.439935191,,,,,,,,,,,,
LAMTOR1,-1.175540048,,-1.406460367,-1.029940644,,-1.021784671,,-1.337432828,,-1.478375401,-1.90117385,,-2.107340762,-0.863750014,
LAMTOR2,,-1.21422553,-1.543753229,-1.623354656,,,,,,-2.475722565,-3.461224882,,-2.317493645,,
LAMTOR3,,,-1.922636089,,,1.255942076,,,,,,,,1.225016945,
LAMTOR4,-1.180080134,,-1.398530416,-1.038399358,-2.78418386,,,-1.524431975,-1.465593878,-1.697417661,-2.044972305,-1.692252014,-2.069821042,-1.113494874,
LAMTOR5,,,-1.209906534,-0.562669087,,,,,,,,,,,
LANCL2,,,,4.290441761,3.992688093,2.909057507,,4.632603844,3.807169733,3.225514113,3.318301029,3.738767685,3.1116543,4.21996177,
LAP3,,,-2.87036877,,,1.022025054,,,,,,1.724579963,,,
LAPTM4A,,,,0.773005414,,-0.820609974,,,,,,1.431766238,,-0.888331309,
LAPTM5,0.823139219,0.939948394,,,,,,,0.518789152,,,,,,
LARP1,,,-1.371483749,,,,,,,,,,,,
LARP4,,,,,,1.285779641,,,,,,,,,
LARP4B,,,,,,,,2.334920795,2.077807325,2.156291007,,1.98678929,,1.846157809,
LARP7,,-0.98996023,-1.525310806,-0.655100012,,0.423125538,,,,,,,,,
LARS,,-2.59299022,-2.966681951,,-5.068243143,-1.278163521,,-1.883749276,-1.755908917,-2.758157878,-2.507081307,,-2.562740668,,
LARS2,,,,,,2.894893711,,3.501667228,4.137477164,,,,,3.824954719,
LAT,,-4.305057288,,-1.29849092,-3.99297098,-1.402656189,,-1.916809025,-1.586796136,-2.282531422,-2.769426959,,-2.563622905,-1.433067749,
LAT2,,,-2.223130617,,,,,,,,,,,,
LATS1,1.910556288,1.008498033,,,2.508925906,1.540035123,,2.864700394,2.081620381,2.395916631,2.31841411,2.623702914,2.398493667,1.889209375,
LATS2,,,2.151071337,,,,,,,2.577148085,,,,,
LAX1,,,,2.266669225,,,,,,2.178863968,,,,,
LBH,,,,-1.478120291,-2.376467355,,,-1.455628049,-1.307222516,-1.985818349,-1.718829893,-1.467103129,-1.793773996,,
LBR,,,-1.301775512,,,,,,0.657649358,,,,,0.609541207,
LCK,,,,-1.318640425,-3.105862273,-0.984523917,,-1.290759111,-1.740292934,-1.690510908,-2.309790223,-1.45328921,-1.675707949,-1.233397402,
LCLAT1,,,,,,1.751326437,,3.47631228,1.466262489,,,,,2.28032991,
LCN2,,-5.153567753,,,,,,,,,,,,,
LCOR,,,,,2.456261549,,,2.199504407,1.866454737,2.165554644,2.202620302,2.018654398,,,
LCORL,,,,,,-1.775900482,,,,,,,,-1.181128878,
LCP1,,,-1.232463679,,,-0.889397918,-1.698408525,-1.326725624,,,-2.791490948,-1.121578426,-1.518479741,-1.039813209,
LCP2,,,,,,,1.816863674,,1.79835528,1.693913632,,1.544651117,,1.233661815,
LDHA,,,-1.615002774,,-2.767245707,,,,,,-2.689412308,,-1.827258284,,
LDHB,,-1.809175175,,-1.17405474,-2.162418457,-0.73447187,-1.423483774,-1.187690144,-1.183674613,-1.359773452,-1.578743329,-1.219959685,-1.353826665,-0.91500604,
LDLR,,1.932474591,,3.036077968,3.615390512,2.866895224,,,3.144427029,,3.379296165,2.270743929,3.093108226,,
LDLRAD4,3.529539105,,,,,,,4.136275529,,,,,,3.793841842,
LDLRAP1,,-3.301059447,,,,,,-2.29029024,,,,-2.486457678,-2.818072087,-1.724770395,
LEF1,,-5.224832907,,,-1.71982631,,,1.3740031,,,,,-1.046315076,,
LEF1-AS1,,,,,,,,2.838614401,,,,,,1.642760356,
LEMD3,1.441535582,1.104894917,,,,,,,,,,,,,
LENG1,,,-1.542896737,,,,,,,,,,,,
LEPR,,-3.85784377,,,,,,,,,,,,,
LEPROT,,,-1.51934069,,,,,,,,,,,,
LEPROTL1,1.27478894,,-1.802865629,,,,,,,,,,,,
LETMD1,,,-3.140253826,,,,,,,,,,,,
LGALS1,,,-1.79639116,,-4.611142293,,-6.494167881,,2.254769313,,-3.958391409,,-2.343968,,-5.146837619
LGALS12,,-3.869015692,,,,,,,,,,,,,
LGALS2,,,4.20051641,,,,,,,,,,,,
LGALS3,,,,,,,,,,,,-1.758032752,,,
LGALS8,,,,,,0.738084724,,,,,,,,,
LGALS9,,-0.998805753,-1.795447262,,,,,,,,,,,,
LGALSL,,-4.677864443,,,,,,,,,,,,,
LGMN,,,4.896807409,,,,,,,,,,,,
LILRA1,,,-1.898712107,,,,,,,,,,,,
LILRA2,,,-1.469828794,,,,,,,,,,,,
LILRB4,,-1.634476656,,,,,,,,,,,,,
LIMD2,-0.843243442,,-1.640629257,,-3.525721207,,-2.462348251,-0.92066585,-1.297899217,-1.633390348,-2.000936693,,-1.887758131,-0.859663922,
LIME1,,,,,,,3.391318481,,,,,,,,
LIMK2,,,4.344987142,,,,,,,,,,,,
LIMS1,1.505878332,,,0.910400869,-3.389201713,,,-2.307320587,-0.904591953,-1.518284288,-2.478965574,,-2.117678614,,
LIN52,,,,,2.867436309,2.813252668,,,,,,,,,
LIN54,,1.334857646,2.138890438,,,,,,,,,,,,
LINC00243,,,,,,-2.593241283,,,-2.750364344,-3.234002811,,-2.993782136,,,
LINC00299,,,,,,,,,,2.314615284,,,,,
LINC00342,,,,1.685709389,,,,,,,,,,,
LINC00402,,,,,,,,-3.270247709,,,,,,,
LINC00426,-3.501182347,,,,,,,,,,,,,,
LINC00476,,,,,,,,,,,,,,-0.944693061,
LINC00486,4.254355086,,,6.499156527,,4.826376326,,,,,,,,,
LINC00513,,,,,,,2.801644268,,2.44877694,2.71656001,,,,2.944873851,
LINC00612,,,,,,,,,,6.582856841,,,,,
LINC00623,2.205510168,,,,,-1.364168691,-2.650844162,-1.48858491,,-2.540116842,-3.601777337,,-2.421476943,-1.40343187,
LINC00649,,,,,,-1.504809737,,,-1.62479072,,,,-2.368874085,,
LINC00662,-1.792055919,,,,,,,,,,,,,,
LINC00861,,-5.584772075,-4.803421965,-2.053293366,-3.239403348,-1.673355668,-1.69089726,-2.204753422,-2.381641115,-2.716106001,-2.73244078,-2.473813099,-2.471231084,-1.937221712,
LINC00886,,,,-4.716969785,,,,,,,,,,,
LINC00892,,,,,,,,,,,,,-4.715696708,,
LINC00910,,,,,3.559833964,3.14844285,,3.279570369,2.837409118,,,3.564169801,,4.110393638,
LINC00963,,-1.453622114,,,,,,,,,2.201810338,,,,
LINC00989,,-4.774065948,,,,,,,,,,,,,
LINC00996,,-7.974764765,,-4.930342414,,,,,,,,,,,
LINC01004,,,,,,,,,4.754669381,4.324245056,3.924437819,4.078758048,,,
LINC01010,,-4.757592993,,,,,,,,,,,,,
LINC01089,,-4.556402999,,,,,,,,,,,,,
LINC01138,1.198208305,,,,,,,,,,,,-2.568110725,,
LINC01184,,,,,,-1.20303595,,,,,,,-1.963585865,,
LINC01215,1.102230778,,,,,1.405520387,,,1.550031765,,,,2.025130031,1.897364739,
LINC01237,2.315515352,,,,,,,,,,,,,,
LINC01374,4.922183956,,,,,,,,,,,,,,
LINC01473,,,,,,-1.410436947,,,,,,,,,
LINC01504,,,-1.653930365,,,,,,,,,,,,
LINC01550,,,,,,-1.460754067,,-1.903185318,-1.692724466,,-2.250072038,,-3.01336084,-1.573992792,
LINC01572,3.698663922,,,,,,,,,,,,,,
LINC01578,,1.19074398,,,,1.363662784,,1.699970116,,1.468609141,,1.559960235,,1.36019618,
LINC01588,,,,2.462503454,,,,,,,,,,,
LINC01619,,,,,,,3.823763372,,,,,,,,
LINC01644,,,,,,,,,,3.178136743,,,,,
LINC01725,,,,,,-2.873168736,,,,,,,,-2.849242711,
LINC01765,,,,,,,,,,,,,4.408119051,,
LINC01841,,,,,,,,,4.328441435,,,,,,
LINC01857,-1.844752755,,,,,,,,,,,,,,
LINC01871,,,,,,,,,,-3.662781284,,,,,
LINC01891,,,,,,,,3.919494194,4.641700132,5.405215328,5.739198206,5.589411646,3.958927165,4.152799994,
LINC01934,,,,,,,,2.872446193,,,2.346102936,1.855382729,2.415146988,,
LINC02185,,,-5.030589564,,,,,,,,,,,,
LINC02207,,-3.367027539,,,,,,,,,,,,,
LINC02265,,,,,,,,,,,,5.694183575,,,
LINC02273,,,,,,,,,,,,,-3.516593937,,
LINC02320,,,,,,,,,,,6.667415964,,,,
LINC02345,,,-3.459531828,,,,,,,,,,,,
LINC02422,-1.697451853,,,,,,,,,,,,,,
LINC02446,,,,,,,,,,,,5.660825053,,,
LINC02649,,,,,,-3.055208916,,,,,,,-3.271630852,,
LINC02694,,,,,,,,,,,,,3.380507151,,
LINC02762,,,,,,,,,,,,,-3.639049527,,
LINC-PINT,1.065171707,,1.57126103,1.325206658,,,,,1.309538211,1.338770385,,1.446621442,,1.312835418,
LINS1,,,,,,-1.165594795,,-2.181983796,,,,,,-1.174238247,
LIPA,,-1.276314335,-1.871778105,2.538967504,,,,,,,,,,,
LIPN,,-3.162474602,,,,,,,,,,,,,
LITAF,,,,,,,,-1.465258995,,,,,,,
LLPH,0.757174581,,-2.265675148,0.769962671,,0.783463319,,,,,,,,0.990663477,
LMAN1,-1.528242011,,,-0.845256212,-3.29921238,,,,,-1.93791508,,,-2.358372288,,
LMAN2,-1.53825509,-1.366698428,-1.429967223,-1.372028744,-4.144370131,-1.239022429,,-1.728410351,,-2.376546323,-3.019363573,,-1.889205869,-1.226245794,
LMBR1,,,,,3.608291938,,1.719376829,3.526001113,3.386549866,3.81471662,3.567208934,3.702803323,3.519291333,,
LMBR1L,,,,1.772217645,,1.98832936,,,,2.193321911,,,,,
LMBRD1,,,,,,1.431514886,,2.096405659,1.978297691,1.884173704,,2.214903765,,1.642950368,
LMF1,,,,-1.996574117,,,,,,,,,,,
LMNA,,,,4.198605992,,,,,,3.672096449,2.833018879,3.82487641,3.313649931,,
LMO4,-1.617095408,,-2.195443058,-1.331028973,,,,,,,,,,,
LMTK2,,,,,3.135198001,2.110116929,,2.905287879,2.802154987,3.233156265,3.577410904,3.2346962,2.789148277,2.724837741,
LNCAROD,,-7.106281968,,,,,,,,,,,,,
LNPEP,,,-1.284068497,-0.59861308,,,,,,,,,-1.884148083,0.968410265,
LNPK,,1.213621872,,,,,,,,,,,,,
LONP1,2.05052499,,,,,,,,,,,,,,
LONP2,,,,,,,,,1.039864964,,,,,,
LONRF3,,,,,,,,,,3.51687354,,,,,
LPAR6,,,-1.805830406,-2.637878037,-2.57511542,-1.545317368,,-1.987475723,-2.193567508,,-2.545848283,,-2.337947881,,
LPCAT1,1.875956886,,,,,,,,,,,,,,
LPCAT2,,,-2.430028785,,,,,,,,,,,,
LPCAT3,,,,1.516941117,,,,,2.161715745,2.049544659,,,,,
LPIN1,2.21427374,,,1.226114918,,1.156308414,2.411826629,,1.521456973,,,,,1.2041676,
LPIN2,,1.384437081,,,,1.344176675,1.401825995,,1.298720874,1.331250978,2.225143707,1.695093166,1.70242041,1.369019193,
LPP,,,,,,2.391232916,2.506839793,2.929360271,2.325090329,,,2.055566709,,,
LPXN,,,,,,,,2.892600686,1.751640446,,2.397308217,1.473831193,,1.365961134,
LRCH1,,,,,3.366171447,2.867141878,,2.918957712,3.513067218,3.447270159,3.405945243,3.874313132,2.972705683,3.18989933,
LRCH3,,,,,,,,,,,,2.690376694,,2.220734209,
LRCH4,,,-1.312056405,,,,,,,,,,,,
LRIF1,,,,-2.478403539,,,-4.896921605,,,-2.674718662,,,-2.951370462,,
LRIG1,,,,-2.668985437,3.397737409,,,,,,,,,,
LRMP,,,,,,1.3029408,,2.965467052,2.585957552,,,3.018362392,2.815654714,1.710485234,
LRP1,,,-1.293600169,,,,,,,,,,,,
LRP10,-1.450263104,,-0.951786995,-1.246609382,,,,,,,,,,,
LRP5L,3.716663089,,,,,,,,,,,,,,
LRPAP1,-0.74840163,,-1.616231069,-0.761189355,-4.154459072,,,,,,,,-2.000993324,-1.16176777,
LRPPRC,,,-1.750386707,,,,,,1.218038694,,,,,,
LRRC37B,,,,,3.214039581,2.393423923,,,4.003693399,,,,,2.939665695,
LRRC40,,,,,,1.874050126,,,,,,,,2.627519145,
LRRC41,1.994088927,,,1.996941894,,,,,,,,,,,
LRRC59,,0.735693128,,,,,,,,,,,,,
LRRC63,,-9.001835813,,,,,,,,,,,,,
LRRC7,,,,,,1.191002581,,,,,,,,,
LRRC8A,,,,1.31159145,,,,,,,,,,,
LRRC8B,3.118434395,,,,3.394390912,2.419179309,,3.535886687,2.718805744,,2.896745134,3.168713446,3.058538555,2.56108235,
LRRC8C,,,,,2.800527696,,,,,,,2.483393632,,,
LRRC8D,,,,,2.999782888,,,3.390067352,,,3.540778964,,,2.844023114,
LRRFIP1,,,,,,0.882485272,,0.88378901,1.292882978,,,1.093358027,,1.044384101,
LRRK2,-1.398781206,,-2.7371266,,,,,,,,,,,,
LSM1,,,-1.212703378,,,,,,,,,,,,
LSM10,-1.679945076,-1.620771684,-1.861994771,-1.593868534,,,,,,-2.631666447,,,-2.52600182,-1.099513066,
LSM12,,0.965889943,-1.145951816,0.777534197,,1.012810145,,,,,,,,0.879778453,
LSM14A,,,,,1.355496302,1.298694735,1.651731535,1.475143551,1.280899321,1.709207293,1.735200695,1.641563941,,1.498622486,
LSM2,-1.640362599,,,-1.453628049,,-1.151312182,,,-1.442907457,-2.248306739,-2.440288211,,-2.576485864,-1.070428403,
LSM3,-0.862682811,-1.037012586,-1.349152181,-0.919001921,,,,,,-3.234209298,,,-2.46881088,,
LSM4,-1.313375407,-1.046380634,-1.622387372,-1.218813874,,,,,,-2.978625187,,,,-1.239107898,
LSM5,,-1.029224948,-1.811610915,-1.180021308,,-0.848129732,,-1.442894064,,-2.210330621,-2.820909486,,-2.273282414,-0.811701032,
LSM6,,,-2.017196455,-1.561407716,,-1.091016297,,-1.671245821,-1.111600172,-2.257759624,-2.965436397,-1.486601357,-2.524769594,-1.247668602,
LSM7,,,-1.472405507,,-3.55038691,,,-1.026767868,,-1.754324699,,-0.99237496,,,
LSM8,-0.798367018,-0.935210252,-1.720823607,,-2.901639642,-0.830706576,,,,-2.745553694,,,-2.685640777,-0.709016084,
LSP1,-1.053612438,,,-1.002141472,-3.055285598,,,-1.279748406,,-1.833855589,-3.512301698,,-1.725402035,,
LTA4H,-1.363458436,,-2.093701281,,,,,,,,,,,,
LTB,,-2.857539913,-2.205125466,-1.656719835,-2.259809786,,-2.076252641,,,,,,,,
LTBP1,,-4.421642107,,,,,,,,,,,,,
LTBP2,,-5.947573584,,,,,,,,,,,,,
LTBR,,-1.461979001,,,,,,,,,,,,,
LTN1,0.643978432,,,,,,,,,,,,,,
LTV1,,,,,,1.13369252,,,,,,,,1.123093381,
LUC7L,1.358303705,,,1.314882097,,1.212596094,,1.861338387,1.509078352,2.063481381,2.243571741,2.222307771,1.447926022,1.413595761,
LUC7L2,,,,,2.010551758,1.384874911,2.992582063,1.601664983,1.733908478,1.810092021,2.153095259,1.683928245,1.893550033,1.641238071,
LUC7L3,,,,,-2.488238865,0.527659797,,,,,,,-1.074877677,1.589348761,
LUZP1,,1.380868356,,2.398910916,,2.104174777,,1.985097581,2.028909699,2.378591914,3.565950931,1.829941586,2.901930888,2.045525305,
LXN,,-4.927750612,,,,,,,,,,,,,
LY6E,,,,,,,,-1.993139318,-4.100291661,-2.76402353,-2.748208981,,,,
LY6G6F,,-5.211768296,,,,,,,,,,,,,
LY75,,-0.928959856,,,,-0.821435865,,,,,,,,-1.045039206,
LY86,,,-2.393123636,,,,,,,,,,,,
LY9,,,,-2.583380129,,,,,,,,,,-1.400766465,
LY96,,-0.967480065,-1.952504009,,,,,,,,,,,,
LYAR,,-0.745376645,,,,,,,,-2.55459966,,-1.525717655,,,
LYL1,,,-1.055117506,,3.183129859,,,,,4.44117524,3.695306964,,3.213825395,,
LYN,,,,,4.866439897,4.195858589,,,,,,,,,
LYPD2,,,-5.088439,,,,,,,,,,,,
LYPLA1,-0.902049894,,-1.401393475,,,,,,,,,,,,
LYPLAL1,-0.943356727,-2.594641653,,,,1.350653108,,,,,,,,,
LYRM2,,,,,,-1.286859176,,,,,,,-2.160872415,,
LYRM4,0.76433818,,-3.334070983,,,,,,,,,,,1.626063914,
LYSMD2,-1.847973969,-2.942835592,-2.459749983,-1.657366049,,,,,-1.358814568,-1.885731842,,,,,
LYSMD3,,,,1.298041782,,1.442287064,,,,,,,,,
LYST,,,,,,,,2.773801794,2.02580161,,2.754108431,1.736591313,,1.340291297,
LZIC,,-0.931240937,-1.615212197,,,,,,,,,,,,
