gene, B cells_naive, Monocytes_CD14+, Monocytes_CD16+, NK cells, T cells_CD4+_memory TREG, T cells_CD4+_naive, T cells_CD4+_naive_stimulated, T cells_CD4+_naive TREG, T cells_CD4+_TFH, T cells_CD4+_Th1_17, T cells_CD4+_Th17, T cells_CD4+_Th1, T cells_CD4+_Th2, T cells_CD8+_naive, T cells_CD8+_naive_stimulated
AC026124.2,,,,,,,,,,,,4.703102503,,,
AC026341.1,,,,,,,,,,-2.529662952,,,,,
AC026470.2,,,,,,,,,,,,6.657115742,,,
AC026979.2,,,,2.544918006,2.431330439,1.876131036,1.171744751,2.327070016,2.268842268,2.431564547,2.749493052,2.477571627,2.3345062,2.153360976,
AC027097.2,,-2.78975207,,,,,,,,,,,,,
AC034114.2,,,,,,,,,,,,6.986664826,,,
AC044849.1,2.487169545,,,2.500271961,3.360492921,2.414353858,,3.078829052,,,2.717066564,,,2.278546872,
AC053513.1,,,,,5.920903959,,,,,,,6.619691242,,,
AC058791.1,,,,,,,,,1.660933534,1.996599424,1.539132536,1.689563966,1.551844229,,
AC064805.1,,,-2.049987738,,,,,,,,,,,,
AC067945.4,,,,7.253393979,,,,,,4.491217932,,,,5.309673315,
AC068282.1,,,,,6.857795241,,,5.356385553,6.126253295,5.779418896,6.156034496,6.198979489,5.325925993,,
AC068533.3,,,,5.95221922,,,,,,,,,,,
AC068587.4,,-2.196450714,,,,,,,,,,,,-1.639299175,
AC068724.3,,,,,,,,6.122368194,,7.231004343,5.676899935,7.671380112,,7.307695625,
AC068888.1,,,,,,3.491567582,,,5.905313597,,,,,3.91496819,
AC073167.1,,,,,6.197324514,5.709106031,2.298474193,5.055681607,6.974112401,5.411565354,5.922237663,6.611991668,5.135625047,6.381601333,
AC074032.1,1.948686213,,,,2.77681047,,,3.806449689,2.769783612,2.960404256,2.708620502,2.943886719,2.764493671,2.892812034,
AC078883.1,,,,,,-1.717602304,,-2.09462952,,,,,,,
AC079781.5,,,,,,,,,,3.125295037,3.36033102,3.150389627,,,
AC079921.1,,,,,,3.844109524,,,,,4.164313719,5.611405524,5.522329433,5.091769815,
AC083837.1,,,-6.157008352,,,,,,,,,,,,
AC084871.1,,,5.585994633,,,,,,,,,,,,
AC087239.1,3.292891,,,4.24107552,,2.360778862,,3.380271711,3.222906799,3.420985644,2.885306666,3.638554768,3.264876848,2.539005278,
AC087286.2,,,6.09760711,6.450788343,5.417382366,4.301738408,2.888569938,,6.851992386,4.66655216,6.277142037,6.029498867,5.545796568,,
AC087500.1,,,-2.321649041,,,,,,,,,,,,
AC087854.1,,,,,,,,,,,,2.035312741,,,
AC090409.1,,-4.548740236,,,,,,,,,,,,,
AC091271.1,,,,,,,,,,3.901659717,,,,,
AC092120.3,,,5.007395739,4.893524923,5.357358015,3.773062767,,4.838195993,6.697374379,5.500619501,6.178351818,6.343530951,3.847660138,5.84190176,
AC092338.3,1.572937714,,,,,1.573305812,,1.499307477,2.219143229,,2.309560475,2.289141669,1.941800705,1.369397566,
AC092652.1,,,,,,4.878925331,,5.962810382,7.045934468,6.412904274,5.320117955,7.204696069,5.053416478,6.73486632,
AC092652.2,,,,,,,,,7.540668041,6.732756124,6.071260164,8.2856628,5.469316927,,
AC093157.1,,,,,,-1.923526854,,,-1.946285605,,,-1.883974314,-3.109336331,-1.58256993,
AC093865.1,,,,-2.42353749,,,,,,,,,,,
AC096667.1,,,-2.430896898,,,,,,,,,,,,
AC097376.3,,,,-3.181146436,,,,,,,,,,-1.403707777,
AC099489.1,,7.857565466,,,,,,,,,,,,,
AC100810.1,,-2.72866493,,,,-1.189953797,-2.736157494,,,,,,,,
AC103591.3,,,,3.77436026,4.821122311,4.325022356,,4.718438529,3.99159765,4.697329334,4.696134379,4.144283682,4.307871952,3.161733954,
AC104316.1,3.41255478,,,6.279481571,6.419231675,,,6.416193989,,,5.820464724,5.805840716,,,
AC104365.1,5.787350813,,,7.055976971,6.59242691,,,5.356899494,6.414627259,5.514576967,6.682815611,6.051870941,5.534037134,5.583775727,
AC104695.2,,,,,,,,,,4.11249849,,,,,
AC104695.4,,-1.693447345,,,,,,,,,,,,,
AC107068.2,,-5.60255107,,,,,,,,,,,,,
AC108863.2,1.458441372,,,,,,,,,,,,,,
AC108879.1,-3.351496938,,,,,,,,,,,,,,
AC114760.2,-1.340692572,,-3.349017576,,3.555222349,,,,2.317816719,,,,,,
AC116366.1,,3.18054521,,,,,,,,,,,,,
AC118549.1,,,,,,,,,,2.018723289,1.819452211,2.011817205,,,
AC119674.1,,-7.11538335,,,,,,,,,,,,,
AC120193.1,,-3.280464811,,,,,,,,,,,,,
AC124016.1,,,,,,,,,,3.450840672,,,,,
AC124248.1,,,,,,,,,,4.43004175,,,,,
AC124944.3,,-5.670946764,,,,,,,,,,,,,
AC127035.1,,,,,4.576417047,2.965390375,,3.42067448,4.16322605,,3.287904399,4.55284094,3.172950019,5.05335502,
AC131237.1,,-8.175574098,,,,,,,,,,,,,
AC131568.1,,1.609441972,,,,,,,,,,,,,
AC133644.2,,,,,-3.750060951,,,,,,,,,,
AC136475.3,,,,,,,,,,,3.499206469,,,,
AC137932.2,,-6.151782988,,,,,,,,,,,,,
AC138123.1,,,,,,,,,,,5.066892779,,,,
AC139720.1,,,,,,,,-4.600786529,-4.889884966,,,,-5.250876755,,
AC147067.1,,,-2.800716058,,,,,,,,,,,,
AC147651.1,,-3.881565441,,,,,,,,,,,,,
AC239799.2,3.763820703,,,,,,,,,,,,,,
AC243829.1,,,,-3.233457593,,,,,,,,,,,
AC243960.1,,,,-1.659066125,-3.394632456,-1.863649037,,-2.580351346,-1.681255648,,,,-3.126947032,-1.821780976,
AC245014.3,2.767247596,-3.167080965,,2.758564139,6.103201957,,,5.261739213,4.245602745,,,3.73455779,,4.371736993,
AC245060.5,-4.100407513,,,,,,,,,,,,,,
AC245297.3,,,,,,,,,,-2.954248443,,,-2.643738235,-0.994920758,
AC245407.2,,,,,,,,,,,,,,-1.815882357,
AC253572.2,,-2.186236704,,3.34022665,,2.711412919,,4.848092432,4.175508854,,,3.917721428,,,
ACAA1,-1.0588875,,,-1.063447766,,,,,,,,,,,
ACAA2,,-1.057868151,-1.585255167,,,,,,,-3.686022056,,,,,
ACACA,,-2.151380555,,,,2.572163857,,,3.333900995,4.031229168,3.989208314,3.641141803,2.486045441,3.102943585,
ACADM,,,-2.608292005,-2.459659538,,,,,,,,,,-1.514852361,
ACADVL,,,,-1.083286915,,,,,,,,,,,
ACAP1,,,,,,,2.128624441,,,,,,,,
ACAP2,,,,,,,,,,,,,-1.299795356,1.299622777,
ACAT1,,,,,,,,,,,,,,-1.64279184,
ACAT2,-2.22955643,,,,,,,,,,,,,,
ACBD3,,,-3.419725373,,,1.140229562,,,1.655437764,1.790778595,1.76326149,1.626485862,,1.411766182,
ACBD5,,-0.696384437,,,,,,,,,,,,1.239476331,
ACBD6,,,,,,,,,1.363879951,,,1.899879163,,,
ACIN1,,,,,,0.723603771,,,0.857003074,,,,,1.087404835,
ACLY,,-1.254158556,,,,,,,,,,,,,
ACO2,,,,,,1.745414887,,2.265855335,1.693776849,,,1.800146287,1.535296983,1.787276869,
ACOT13,,-3.139959012,-3.406148141,,,,,,,,,,,,
ACOX1,,-0.892416772,,,,,,,,,,,,,
ACP1,-0.724065639,-1.478688993,-0.916729003,-0.66057777,,,,,,,,,,,
ACP2,,-5.551721888,,,,,,,,,,,,,
ACP5,,-5.877902677,-3.689539885,,,,,,,,,,,,
ACPP,,-2.743589832,,,,,,,,,,,,,
ACRBP,,-4.127505334,,,,,,,,,,,,,
ACSL1,3.876651165,,,,,,,,,4.571395692,,4.585995438,,,
ACSL3,,,,,,,,2.270088575,1.867243115,2.186008671,2.473583799,2.370778733,,,
ACSL4,1.553725416,,,,,,,,,,,,,,
ACSL5,,-1.509914294,,,,,,,,,,,,,
ACSM1,4.134925151,,,,,,,,,,,,,,
ACTB,-1.078623386,,-1.17040644,,,,-2.128611253,,,,,,,,
ACTG1,,,-1.341124855,,,,,,,,,,,,
ACTN4,-0.827347458,,,,,,,,,,,,,,
ACTR10,,,,-0.930300038,,1.257817294,,,,,,,,,
ACTR1A,,,-1.298707465,,,,,,,,,,,,
ACTR2,,,,,,0.512135477,,,0.549811686,-1.340356614,-2.368736395,,-1.867206062,0.545828027,
ACTR3,,,,,,,,,,-1.243814268,-1.529698039,,-1.281582286,-0.847070722,
ACTR6,,,,,,-0.492671379,,,,,,,,,
ACVR1B,,1.815149587,1.850771611,,,,,,,,,,,,
ACYP2,,-1.589211364,-1.601320965,,,,,-1.426017221,,-2.005411074,,,,,
ADA,,,,,,,,,2.023649395,,,,,,
ADA2,,-1.370224843,,,,,,,,,,,,,
ADAM10,,,,,,,,1.515347062,,,,,-1.503886325,1.449851386,
ADAM15,,-0.762380369,,,,,,,,,,,,,
ADAM17,1.866980657,,,,2.111065756,1.724175593,,,2.020842307,2.505175038,,2.14998462,1.968452401,2.567769909,
ADAM19,,,,,,,,,2.85800067,2.898793422,3.151313122,2.824845501,2.704713536,,
ADAM23,,,,,,,,,,,,,3.134919792,,
ADAM28,,,,-3.507202247,,,,,,,,,,,
ADAM9,,,3.223463519,,,,,,,,,,,,
ADAMDEC1,,-7.866275925,,,,,,,,,,,,,
ADAMTS17,,,,,,,,,,,,,3.040972683,,
ADAMTS6,,,,,,3.21387507,,,,,,,,2.209389882,
ADAMTSL4,,,-1.986766654,,,,,,,,,,,,
ADAMTSL4-AS1,,,,3.569544189,,,,,,,,,3.95876892,,
ADAP2,,,-1.541146558,,,,,,,,,,,,
ADAR,1.097422565,,,,,0.806214159,,1.343264922,1.288861298,,,,-1.634794151,1.013360113,
ADARB1,,,,,,1.00405113,,,,,,,,,
ADARB2,6.301664964,,,-4.728591221,,,,,,,,,,,
ADCY3,3.625206938,,,,,,,,,,,,,,
ADCY7,,,,1.044665335,,,,,,,,,,,
ADCY9,,-1.778327548,,-3.593155632,,,,,,,,,,,
ADD1,,,,-0.637035661,,0.765388008,,,,,,,,,
ADD3,,,,,-2.297758377,,,,,-2.03887256,,,,,
ADGRE5,2.375445397,,,1.88448871,2.524964905,2.280341537,3.950585596,2.657392483,2.709763642,2.555953098,,2.295846356,2.539533017,2.775586339,
ADGRG3,,6.183955066,,,,,,,,,,,,,
ADH5,-1.636499627,,-1.153854506,-1.315295754,,-0.60319096,,,,,-2.626670458,,-1.958024176,,
ADI1,,-1.566917958,-1.424822294,,,,,,,,,,,,
ADIPOR1,,,2.117384047,3.131177468,3.625177037,,,3.381635479,2.850289629,2.607806256,3.694315391,,3.114833859,,
ADIPOR2,,,,,,,,,2.520598902,,,,,1.847305407,
ADM,,2.883641126,,,,,,,,,,,,,
ADNP,,,,,,1.627882966,,1.90702081,1.94347836,1.802126053,2.801032095,1.989777695,1.527435603,1.526937978,
ADNP2,2.872431902,,1.776879318,,3.096368188,2.607819557,1.305949269,3.244905218,2.63752634,2.782252211,2.715588096,2.676855939,2.928615607,2.842751439,
ADORA2A,,-2.405396019,,,,,,,,,,,,,
ADPGK,1.283156988,,,,,1.212619973,,,,,,,,1.574544572,
ADRM1,-1.346175443,,-2.100574163,,,,-2.250944263,,,,,,,,
ADSL,,,,,,0.806854485,,,0.903326198,,,,,1.098905013,
ADSS,,-1.202139706,-1.958866615,-0.80850293,,-0.629505424,,,,,,,,,
ADTRP,,,,,,,,-2.179939651,-1.657823916,,,,,,
AEBP2,2.008524699,,,,3.028137625,,,,2.338683424,,2.04979127,1.965119593,,,
AF117829.1,2.011445481,,,,,,,,,,,,,,
AFAP1,,-4.848920961,,,,3.180505759,,,,3.324840203,,,,,
AFDN,,,,,,,,,,2.483378197,,,,,
AFF1,,,,1.12638431,2.685424164,,,2.970699914,,,,,,,
AFF3,,,,1.646235424,3.457990331,,,,,,,4.462026655,,3.056820675,
AFF4,,,,,2.437315324,1.552045858,,2.055343834,1.871890403,2.292562236,1.536791774,1.820392121,1.965928436,1.730436304,
AFG3L2,,,,,,1.085852783,,,,,,,,,
AFTPH,,,,,,1.439437802,,,,,,,,1.656607265,
AGAP1,,,,,,,,,,3.210784978,,,,,
AGAP3,,,2.634236817,,,,,,,,,,,,
AGBL5,,,,,,,,,3.591885079,,,,,,
AGFG1,1.620240574,,,,,0.826513242,,2.422051702,1.273567031,,,,,,
AGGF1,,-1.693196272,,,,,,,,,,,,,
AGO1,2.168509103,,,,,,,,,,,,,,
AGO2,2.566014273,,,,2.879818501,1.732690658,2.178499395,2.277378458,2.012015092,2.50026453,2.313268027,2.516629129,2.258650439,2.07510343,
AGO3,,,,,,,,,1.853403602,2.274307875,2.013768059,1.930792184,,,
AGO4,,,,-1.186007351,,,,,,,,,,,
AGPAT1,,-3.293427021,,,,,,,,,,,,,
AGPAT2,,-1.399890188,-2.646640885,,,,,,,,,,,,
AGPAT3,2.736995581,,,1.697002894,,1.683267776,,2.513801619,1.955658701,1.834939314,1.485194347,2.002487194,,1.914179898,
AGPAT4,,,,,,,,,,2.036218442,2.089741627,2.959697868,2.561846362,,
AGPAT5,,-3.898277965,,,,,-2.281889876,,,,,2.231405818,2.126375493,,
AGPS,,,,,,1.457860872,,,1.863529203,,,2.143354831,1.96038585,,
AGTPBP1,2.367723296,,,,2.631642295,2.252836069,,2.735921786,2.564918898,2.444810311,2.430045693,2.336689912,,2.319910438,
AGTRAP,,,-1.386779178,-1.629109684,,,,,,,,,,,
AHCTF1,1.658898514,,,,,,,,1.60521005,2.158856031,2.006622552,1.809611128,,,
AHCYL1,,,-1.622935012,,,,,,,,,,,,
AHCYL2,,,-2.20530366,-1.624554886,,-1.355763074,,,,,,,,,
AHI1,,,,,,-1.305164067,,,,,,,,,
AHNAK,,,-1.603829742,,-2.899061995,,,,,-1.935026714,,,,,
AHR,,,2.763590838,2.132172831,2.224247064,2.496458927,3.016895004,2.34741173,2.204277584,2.711334083,2.091788769,2.48024218,2.375882789,2.627593467,
AHRR,,-6.192939733,-5.644280885,,,,,,,,,,,,
AHSA1,-1.629616133,,-1.992595148,-1.071870957,,,-5.21562271,,,,,,,,
AHSP,,,9.111194462,,9.589216761,,,10.33630277,11.0238655,11.85480693,11.13564455,,11.26484407,,
AIDA,-1.40693268,,-1.544183846,,,,,,,,,,,,
AIF1,3.858317637,,,2.568478626,3.055633712,,3.382278627,2.619443729,2.492757152,5.189788863,,3.591069358,3.400577408,,
AIG1,,,-3.197940073,,,,,,,,,,,,
AIM2,-5.459150738,,,,,,,,,,,,,,
AIMP1,,-0.57051976,-2.332731533,,-2.551300242,,,,0.837206356,,,,,0.747954461,
AIP,-1.393183519,-1.52033431,-1.792800161,-1.121735611,-3.069723851,,,,,,-3.283191487,,-2.427218851,-0.931154482,
AJ009632.2,,,-6.236584983,,,,,,,,,,,,
AK2,,-1.26272032,-1.039204689,,,,,,,,,,,,
AK5,,,,-3.647925536,,,,,,,,,,-2.153586994,
AK9,,,,-2.255609746,,,,,,,,,,,
AKAP10,1.961544659,,,,,,,,,,,,,1.937594275,
AKAP11,,-2.250835321,-1.391744351,,,,,,,,,,,,
AKAP13,,,,,,,2.550660045,1.373908426,1.720119655,1.585359871,,1.386860446,,1.489457632,
AKAP17A,,0.891582124,,0.791977837,,0.818145792,,,1.168253207,,,,,,
AKAP7,,,-2.93357573,,,,,-1.470570965,,,,,,,
AKAP8,1.849840854,1.065138842,1.41877764,,3.199634132,1.696451616,,2.330583103,2.180740262,2.014280405,,2.26296753,2.419952398,1.8291951,
AKAP8L,1.045819291,,1.342384094,,,0.897198148,,,1.317279758,,,,,1.112968326,
AKAP9,,,-1.810801691,,,0.788269145,,,,1.041612352,,0.879261369,,,
AKIRIN1,1.210963601,0.75141893,,1.072768988,,0.907713955,,1.545567933,1.048200258,1.014186828,,,,0.673869276,
AKIRIN2,1.398584209,,,,,1.013889951,,,,,,,,,
AKR1A1,,-1.777935168,-2.650535731,,,,,,,,,,,,
AKR7A2,-1.772153377,-1.056743755,-2.286974252,-1.313069814,,,,,,-2.56860602,,,,,
AKT1,,-0.876075531,,,,,,,,,,,,,
AKT2,0.953109519,,,0.987650098,,1.314626912,,,1.502222287,,,,,1.478293859,
AKT3,,,,,,,,3.614733966,2.656245982,,,,,,
AL021155.5,3.082726647,,,3.08555359,3.669831403,2.829748677,,3.876623239,3.993752176,3.385099114,3.039158688,3.000528773,3.232232967,2.012910752,
AL021707.1,,,,,4.544021426,,,,,,,7.672511754,,,
AL031428.1,,,,,,,,,,,,8.442795945,,,
AL031772.1,4.001215108,,,,5.210418731,,,,4.447040647,,,5.953781448,5.582821362,,
AL034397.3,,,-2.905889082,,,,,,,,,,,,
AL035071.2,,,,,,,,4.600112278,,,,,,,
AL035634.1,,,,,6.510105735,5.033225626,,5.406071662,,4.583473043,,5.486704746,,6.817690059,
AL049869.3,,,,,,,,,,,,5.233029026,,,
AL078604.4,,-4.822841274,,,,,,,,,,,,,
AL109930.1,,,,,,,,4.130737093,,,,,-4.09535621,,
AL118516.1,,3.20868799,,2.561124283,,1.624660293,,2.178617514,2.055404825,2.659638698,2.600247575,2.051680554,2.114368865,1.872227272,
AL121603.2,,,,,,,,,,3.921828447,,,,,
AL121933.2,,,-1.789239106,,,,,,,,,,,,
AL121944.1,1.888396853,,,,,,,,,,,,,,
AL133330.1,,-2.072457015,,,,,,,,,,,,,
AL133453.1,,,-3.020163338,,,,,,,,-5.116448594,,,,
